t,수치해,엄밀해,상대오차(%)
0.015900,2.054248,2.062247,0.387888
0.016000,2.054665,2.062651,0.387184
0.016100,2.055081,2.063055,0.386509
0.016200,2.055496,2.063458,0.385861
0.016300,2.055909,2.063860,0.385240
0.016400,2.056321,2.064261,0.384644
0.016500,2.056732,2.064662,0.384071
0.016600,2.057141,2.065061,0.383521
0.016700,2.057550,2.065460,0.382991
0.016800,2.057957,2.065859,0.382482
0.016900,2.058363,2.066256,0.381992
0.017000,2.058769,2.066654,0.381520
0.017100,2.059173,2.067050,0.381064
0.017200,2.059577,2.067446,0.380626
0.017300,2.059979,2.067841,0.380202
0.017400,2.060381,2.068236,0.379793
0.017500,2.060782,2.068631,0.379398
0.017600,2.061183,2.069025,0.379016
0.017700,2.061582,2.069418,0.378647
0.017800,2.061981,2.069811,0.378289
0.017900,2.062380,2.070204,0.377942
0.018000,2.062777,2.070596,0.377606
0.018100,2.063174,2.070988,0.377280
0.018200,2.063571,2.071379,0.376964
0.018300,2.063967,2.071770,0.376657
0.018400,2.064362,2.072161,0.376358
0.018500,2.064757,2.072552,0.376068
0.018600,2.065152,2.072942,0.375785
0.018700,2.065546,2.073332,0.375509
0.018800,2.065940,2.073721,0.375241
0.018900,2.066333,2.074110,0.374979
0.019000,2.066726,2.074499,0.374723
0.019100,2.067118,2.074888,0.374473
0.019200,2.067510,2.075276,0.374229
0.019300,2.067902,2.075665,0.373990
0.019400,2.068293,2.076053,0.373756
0.019500,2.068684,2.076440,0.373527
0.019600,2.069075,2.076828,0.373303
0.019700,2.069465,2.077215,0.373083
0.019800,2.069855,2.077602,0.372867
0.019900,2.070245,2.077989,0.372655
0.020000,2.070635,2.078376,0.372446
0.020100,2.071024,2.078762,0.372241
0.020200,2.071413,2.079149,0.372040
0.020300,2.071802,2.079535,0.371841
0.020400,2.072191,2.079921,0.371646
0.020500,2.072579,2.080306,0.371453
0.020600,2.072967,2.080692,0.371263
0.020700,2.073355,2.081077,0.371076
0.020800,2.073743,2.081463,0.370891
0.020900,2.074130,2.081848,0.370709
0.021000,2.074518,2.082233,0.370528
0.021100,2.074905,2.082618,0.370350
0.021200,2.075292,2.083002,0.370174
0.021300,2.075679,2.083387,0.369999
0.021400,2.076065,2.083771,0.369827
0.021500,2.076452,2.084156,0.369656
0.021600,2.076838,2.084540,0.369486
0.021700,2.077224,2.084924,0.369318
0.021800,2.077610,2.085308,0.369152
0.021900,2.077996,2.085692,0.368987
0.022000,2.078381,2.086075,0.368823
0.022100,2.078767,2.086459,0.368661
0.022200,2.079152,2.086842,0.368500
0.022300,2.079538,2.087226,0.368340
0.022400,2.079923,2.087609,0.368181
0.022500,2.080308,2.087992,0.368023
0.022600,2.080693,2.088375,0.367866
0.022700,2.081077,2.088758,0.367710
0.022800,2.081462,2.089141,0.367554
0.022900,2.081846,2.089523,0.367400
0.023000,2.082231,2.089906,0.367247
0.023100,2.082615,2.090288,0.367094
0.023200,2.082999,2.090671,0.366942
0.023300,2.083383,2.091053,0.366790
0.023400,2.083767,2.091435,0.366640
0.023500,2.084151,2.091817,0.366489
0.023600,2.084535,2.092199,0.366340
0.023700,2.084918,2.092581,0.366191
0.023800,2.085302,2.092963,0.366043
0.023900,2.085685,2.093345,0.365895
0.024000,2.086069,2.093726,0.365748
0.024100,2.086452,2.094108,0.365601
0.024200,2.086835,2.094489,0.365454
0.024300,2.087218,2.094871,0.365308
0.024400,2.087601,2.095252,0.365163
0.024500,2.087984,2.095633,0.365018
0.024600,2.088366,2.096014,0.364873
0.024700,2.088749,2.096395,0.364729
0.024800,2.089131,2.096776,0.364585
0.024900,2.089514,2.097157,0.364441
0.025000,2.089896,2.097537,0.364297
0.025100,2.090278,2.097918,0.364154
0.025200,2.090661,2.098299,0.364012
0.025300,2.091043,2.098679,0.363869
0.025400,2.091425,2.099059,0.363727
0.025500,2.091807,2.099440,0.363585
0.025600,2.092188,2.099820,0.363443
0.025700,2.092570,2.100200,0.363302
0.025800,2.092952,2.100580,0.363161
0.025900,2.093333,2.100960,0.363020
0.026000,2.093715,2.101340,0.362879
0.026100,2.094096,2.101720,0.362739
0.026200,2.094477,2.102100,0.362598
0.026300,2.094859,2.102479,0.362458
0.026400,2.095240,2.102859,0.362318
0.026500,2.095621,2.103238,0.362178
0.026600,2.096002,2.103618,0.362039
0.026700,2.096383,2.103997,0.361899
0.026800,2.096763,2.104376,0.361760
0.026900,2.097144,2.104755,0.361621
0.027000,2.097525,2.105134,0.361482
0.027100,2.097905,2.105513,0.361344
0.027200,2.098286,2.105892,0.361205
0.027300,2.098666,2.106271,0.361066
0.027400,2.099046,2.106650,0.360928
0.027500,2.099427,2.107029,0.360790
0.027600,2.099807,2.107407,0.360652
0.027700,2.100187,2.107786,0.360514
0.027800,2.100567,2.108164,0.360376
0.027900,2.100947,2.108543,0.360239
0.028000,2.101327,2.108921,0.360101
0.028100,2.101706,2.109299,0.359964
0.028200,2.102086,2.109677,0.359827
0.028300,2.102466,2.110055,0.359689
0.028400,2.102845,2.110433,0.359552
0.028500,2.103225,2.110811,0.359416
0.028600,2.103604,2.111189,0.359279
0.028700,2.103983,2.111567,0.359142
0.028800,2.104362,2.111944,0.359005
0.028900,2.104742,2.112322,0.358869
0.029000,2.105121,2.112700,0.358733
0.029100,2.105500,2.113077,0.358596
0.029200,2.105879,2.113454,0.358460
0.029300,2.106257,2.113832,0.358324
0.029400,2.106636,2.114209,0.358188
0.029500,2.107015,2.114586,0.358052
0.029600,2.107393,2.114963,0.357916
0.029700,2.107772,2.115340,0.357781
0.029800,2.108150,2.115717,0.357645
0.029900,2.108529,2.116094,0.357510
0.030000,2.108907,2.116471,0.357374
0.030100,2.109285,2.116847,0.357239
0.030200,2.109663,2.117224,0.357104
0.030300,2.110041,2.117600,0.356969
0.030400,2.110419,2.117977,0.356834
0.030500,2.110797,2.118353,0.356699
0.030600,2.111175,2.118730,0.356564
0.030700,2.111553,2.119106,0.356429
0.030800,2.111930,2.119482,0.356294
0.030900,2.112308,2.119858,0.356160
0.031000,2.112685,2.120234,0.356025
0.031100,2.113063,2.120610,0.355891
0.031200,2.113440,2.120986,0.355756
0.031300,2.113818,2.121362,0.355622
0.031400,2.114195,2.121737,0.355488
0.031500,2.114572,2.122113,0.355354
0.031600,2.114949,2.122488,0.355220
0.031700,2.115326,2.122864,0.355086
0.031800,2.115703,2.123239,0.354952
0.031900,2.116080,2.123615,0.354818
0.032000,2.116456,2.123990,0.354684
0.032100,2.116833,2.124365,0.354551
0.032200,2.117210,2.124740,0.354417
0.032300,2.117586,2.125115,0.354283
0.032400,2.117963,2.125490,0.354150
0.032500,2.118339,2.125865,0.354017
0.032600,2.118715,2.126240,0.353883
0.032700,2.119092,2.126614,0.353750
0.032800,2.119468,2.126989,0.353617
0.032900,2.119844,2.127364,0.353484
0.033000,2.120220,2.127738,0.353351
0.033100,2.120596,2.128113,0.353218
0.033200,2.120972,2.128487,0.353086
0.033300,2.121347,2.128861,0.352953
0.033400,2.121723,2.129235,0.352820
0.033500,2.122099,2.129610,0.352688
0.033600,2.122474,2.129984,0.352555
0.033700,2.122850,2.130358,0.352423
0.033800,2.123225,2.130731,0.352290
0.033900,2.123600,2.131105,0.352158
0.034000,2.123976,2.131479,0.352026
0.034100,2.124351,2.131853,0.351894
0.034200,2.124726,2.132226,0.351762
0.034300,2.125101,2.132600,0.351630
0.034400,2.125476,2.132973,0.351498
0.034500,2.125851,2.133347,0.351366
0.034600,2.126226,2.133720,0.351234
0.034700,2.126600,2.134093,0.351103
0.034800,2.126975,2.134466,0.350971
0.034900,2.127349,2.134839,0.350840
0.035000,2.127724,2.135212,0.350708
0.035100,2.128098,2.135585,0.350577
0.035200,2.128473,2.135958,0.350445
0.035300,2.128847,2.136331,0.350314
0.035400,2.129221,2.136704,0.350183
